 fixture_id | league_id | season |        date_utc        | status_short | home_team_id | away_team_id 
    1180432 |        71 |   2024 | 2024-06-13 23:00:00+00 | FT           |          134 |          140
    1180427 |        71 |   2024 | 2024-06-14 00:30:00+00 | FT           |          118 |          154
    1180430 |        71 |   2024 | 2024-06-14 00:30:00+00 | FT           |          121 |          133
    1180441 |        71 |   2024 | 2024-06-15 21:30:00+00 | FT           |          794 |          152
    1180438 |        71 |   2024 | 2024-06-16 00:00:00+00 | FT           |          124 |          144
    1180437 |        71 |   2024 | 2024-06-16 19:00:00+00 | FT           |          136 |          119
    1180440 |        71 |   2024 | 2024-06-16 19:00:00+00 | FT           |          131 |          126
    1180442 |        71 |   2024 | 2024-06-16 19:00:00+00 | FT           |          134 |          127
    1180435 |        71 |   2024 | 2024-06-16 21:30:00+00 | FT           |          130 |          120
    1180439 |        71 |   2024 | 2024-06-16 21:30:00+00 | FT           |          133 |          135
    1180443 |        71 |   2024 | 2024-06-16 21:30:00+00 | FT           |         1193 |          154
    1180444 |        71 |   2024 | 2024-06-16 21:30:00+00 | FT           |          140 |          118
    1180436 |        71 |   2024 | 2024-06-17 23:30:00+00 | FT           |         1062 |          121
    1180449 |        71 |   2024 | 2024-06-19 22:00:00+00 | FT           |          120 |          134
    1180453 |        71 |   2024 | 2024-06-19 22:00:00+00 | FT           |          144 |          140
    1180451 |        71 |   2024 | 2024-06-19 23:00:00+00 | FT           |          126 |         1193
    1180452 |        71 |   2024 | 2024-06-19 23:00:00+00 | FT           |          154 |          130
    1180454 |        71 |   2024 | 2024-06-19 23:00:00+00 | FT           |          152 |          133
    1180445 |        71 |   2024 | 2024-06-20 00:30:00+00 | FT           |          119 |          131
    1180446 |        71 |   2024 | 2024-06-20 00:30:00+00 | FT           |          135 |          124
    1180447 |        71 |   2024 | 2024-06-20 21:30:00+00 | FT           |          136 |         1062
    1180448 |        71 |   2024 | 2024-06-20 23:00:00+00 | FT           |          127 |          118
    1180450 |        71 |   2024 | 2024-06-21 00:30:00+00 | FT           |          121 |          794
    1180464 |        71 |   2024 | 2024-06-22 19:00:00+00 | FT           |          140 |          120
    1180455 |        71 |   2024 | 2024-06-22 20:30:00+00 | FT           |          130 |          119
    1180463 |        71 |   2024 | 2024-06-22 21:30:00+00 | FT           |         1193 |          144
    1180459 |        71 |   2024 | 2024-06-23 00:30:00+00 | FT           |          133 |          126
    1180457 |        71 |   2024 | 2024-06-23 19:00:00+00 | FT           |          118 |          135
    1180458 |        71 |   2024 | 2024-06-23 19:00:00+00 | FT           |          124 |          127
    1180462 |        71 |   2024 | 2024-06-23 19:00:00+00 | FT           |          134 |          131
    1180456 |        71 |   2024 | 2024-06-23 21:30:00+00 | FT           |         1062 |          154
    1180460 |        71 |   2024 | 2024-06-23 21:30:00+00 | FT           |          121 |          152
    1180461 |        71 |   2024 | 2024-06-23 21:30:00+00 | FT           |          794 |          136
    1180466 |        71 |   2024 | 2024-06-26 22:00:00+00 | FT           |          135 |          134
    1180469 |        71 |   2024 | 2024-06-26 22:00:00+00 | FT           |          120 |          794
    1180470 |        71 |   2024 | 2024-06-26 23:00:00+00 | FT           |          131 |         1193
    1180473 |        71 |   2024 | 2024-06-26 23:00:00+00 | FT           |          144 |          130
    1180474 |        71 |   2024 | 2024-06-26 23:00:00+00 | FT           |          152 |          127
    1180465 |        71 |   2024 | 2024-06-27 00:30:00+00 | FT           |          119 |         1062
    1180467 |        71 |   2024 | 2024-06-27 00:30:00+00 | FT           |          118 |          133
    1180472 |        71 |   2024 | 2024-06-27 00:30:00+00 | FT           |          154 |          121
    1180468 |        71 |   2024 | 2024-06-27 22:00:00+00 | FT           |          124 |          136
    1180471 |        71 |   2024 | 2024-06-27 23:00:00+00 | FT           |          126 |          140
    1180479 |        71 |   2024 | 2024-06-29 21:30:00+00 | FT           |          133 |          120
    1180483 |        71 |   2024 | 2024-06-29 21:30:00+00 | FT           |         1193 |          794
    1180476 |        71 |   2024 | 2024-06-30 14:00:00+00 | FT           |         1062 |          144
    1180475 |        71 |   2024 | 2024-06-30 19:00:00+00 | FT           |          130 |          124
    1180481 |        71 |   2024 | 2024-06-30 19:00:00+00 | FT           |          126 |          118
    1180482 |        71 |   2024 | 2024-06-30 19:00:00+00 | FT           |          154 |          152
    1180477 |        71 |   2024 | 2024-06-30 21:30:00+00 | FT           |          136 |          134
    1180478 |        71 |   2024 | 2024-06-30 21:30:00+00 | FT           |          127 |          135
    1180484 |        71 |   2024 | 2024-06-30 21:30:00+00 | FT           |          140 |          119
    1180480 |        71 |   2024 | 2024-07-01 23:00:00+00 | FT           |          121 |          131
    1180493 |        71 |   2024 | 2024-07-03 22:00:00+00 | FT           |         1193 |          120
    1180489 |        71 |   2024 | 2024-07-03 23:00:00+00 | FT           |          133 |          154
    1180494 |        71 |   2024 | 2024-07-03 23:00:00+00 | FT           |          140 |          135
    1180486 |        71 |   2024 | 2024-07-04 00:30:00+00 | FT           |         1062 |          127
    1180491 |        71 |   2024 | 2024-07-04 00:30:00+00 | FT           |          794 |          144
    1180492 |        71 |   2024 | 2024-07-04 00:30:00+00 | FT           |          134 |          126
    1180485 |        71 |   2024 | 2024-07-04 22:00:00+00 | FT           |          130 |          121
    1180487 |        71 |   2024 | 2024-07-04 22:00:00+00 | FT           |          118 |          152
    1180488 |        71 |   2024 | 2024-07-04 23:00:00+00 | FT           |          124 |          119
    1180490 |        71 |   2024 | 2024-07-04 23:00:00+00 | FT           |          131 |          136
    1180498 |        71 |   2024 | 2024-07-06 23:00:00+00 | FT           |          127 |         1193
    1180501 |        71 |   2024 | 2024-07-06 23:00:00+00 | FT           |          126 |          794
    1180496 |        71 |   2024 | 2024-07-07 19:00:00+00 | FT           |          135 |          131
    1180502 |        71 |   2024 | 2024-07-07 19:00:00+00 | FT           |          154 |          124
    1180504 |        71 |   2024 | 2024-07-07 19:00:00+00 | FT           |          152 |          130
    1180495 |        71 |   2024 | 2024-07-07 21:00:00+00 | FT           |          119 |          133
    1180497 |        71 |   2024 | 2024-07-07 21:30:00+00 | FT           |          136 |          140
    1180500 |        71 |   2024 | 2024-07-07 21:30:00+00 | FT           |          121 |          118
    1180503 |        71 |   2024 | 2024-07-07 21:30:00+00 | FT           |          144 |          134
    1180499 |        71 |   2024 | 2024-07-07 23:30:00+00 | FT           |          120 |         1062
    1180505 |        71 |   2024 | 2024-07-10 21:30:00+00 | FT           |          130 |          135
    1180509 |        71 |   2024 | 2024-07-10 22:00:00+00 | FT           |          133 |          131
    1180512 |        71 |   2024 | 2024-07-10 22:00:00+00 | FT           |          134 |          118
    1180510 |        71 |   2024 | 2024-07-11 22:30:00+00 | FT           |          121 |          144
    1180508 |        71 |   2024 | 2024-07-11 23:00:00+00 | FT           |          127 |          154
    1180514 |        71 |   2024 | 2024-07-11 23:00:00+00 | FT           |          140 |          124
    1180506 |        71 |   2024 | 2024-07-12 00:30:00+00 | FT           |         1062 |          126
